datetime,consumption_kWh
28-10-2021,"17,683.17"
29-10-2021,"20,248.18"
30-10-2021,"21,470.33"
31-10-2021,"20,566.84"
01-11-2021,"17,561.07"
02-11-2021,"19,475.81"
03-11-2021,"18,774.87"
04-11-2021,"19,897.06"
05-11-2021,"20,076.25"
06-11-2021,"20,985.08"
07-11-2021,"21,024.65"
08-11-2021,"20,290.30"
09-11-2021,"17,742.76"
10-11-2021,"18,438.49"
11-11-2021,"18,425.35"
12-11-2021,"20,827.42"
13-11-2021,"21,162.30"
14-11-2021,"22,842.00"
15-11-2021,"18,316.29"
16-11-2021,"17,216.69"
17-11-2021,"18,392.33"
18-11-2021,"19,620.99"
19-11-2021,"20,722.27"
20-11-2021,"22,026.52"
21-11-2021,"21,130.99"
22-11-2021,"18,940.07"
23-11-2021,"18,551.74"
24-11-2021,"19,754.76"
25-11-2021,"19,461.66"
26-11-2021,"20,519.61"
27-11-2021,"22,400.33"
28-11-2021,"22,930.71"
29-11-2021,"19,528.14"
30-11-2021,"18,215.51"
01-12-2021,"19,180.29"
02-12-2021,"20,028.57"
03-12-2021,"19,826.53"
04-12-2021,"22,025.12"
05-12-2021,"21,671.03"
06-12-2021,"19,602.76"
07-12-2021,"19,379.17"
08-12-2021,"21,152.80"
09-12-2021,"19,469.85"
10-12-2021,"21,700.68"
11-12-2021,"22,988.26"
12-12-2021,"21,889.30"
13-12-2021,"19,523.46"
14-12-2021,"20,499.09"
15-12-2021,"21,034.93"
16-12-2021,"19,790.38"
17-12-2021,"21,431.00"
18-12-2021,"21,370.48"
19-12-2021,"23,022.44"
20-12-2021,"19,243.34"
21-12-2021,"20,334.03"
22-12-2021,"19,354.86"
23-12-2021,"18,775.60"
24-12-2021,"21,110.34"
25-12-2021,"27,319.04"
26-12-2021,"28,857.80"
27-12-2021,"18,598.92"
28-12-2021,"21,473.47"
29-12-2021,"19,081.17"
30-12-2021,"21,214.15"
31-12-2021,"21,443.48"
01-01-2022,"30,163.23"
02-01-2022,"25,582.79"
03-01-2022,"20,572.60"
04-01-2022,"21,456.36"
05-01-2022,"22,721.20"
06-01-2022,"20,244.58"
07-01-2022,"24,480.45"
08-01-2022,"25,408.76"
09-01-2022,"26,116.52"
10-01-2022,"22,333.62"
11-01-2022,"22,172.22"
12-01-2022,"22,856.61"
13-01-2022,"22,248.98"
14-01-2022,"24,449.60"
15-01-2022,"24,073.78"
16-01-2022,"24,777.78"
17-01-2022,"23,415.84"
18-01-2022,"22,032.46"
19-01-2022,"23,093.82"
20-01-2022,"23,466.23"
21-01-2022,"25,749.24"
22-01-2022,"26,262.14"
23-01-2022,"25,191.06"
24-01-2022,"22,406.23"
25-01-2022,"22,162.39"
26-01-2022,"23,804.00"
27-01-2022,"23,485.34"
28-01-2022,"23,836.60"
29-01-2022,"27,755.77"
30-01-2022,"25,150.32"
31-01-2022,"24,263.20"
01-02-2022,"24,289.48"
02-02-2022,"24,861.13"
03-02-2022,"23,805.92"
04-02-2022,"25,627.07"
05-02-2022,"26,559.56"
06-02-2022,"26,416.88"
07-02-2022,"23,534.87"
08-02-2022,"25,081.90"
09-02-2022,"23,786.15"
10-02-2022,"22,473.79"
11-02-2022,"26,710.52"
12-02-2022,"26,585.44"
13-02-2022,"29,006.85"
14-02-2022,"24,031.24"
15-02-2022,"23,452.64"
16-02-2022,"25,505.69"
17-02-2022,"23,612.21"
18-02-2022,"25,498.06"
19-02-2022,"27,711.53"
20-02-2022,"26,841.95"
21-02-2022,"24,611.12"
22-02-2022,"23,318.34"
23-02-2022,"23,848.05"
24-02-2022,"25,943.22"
25-02-2022,"27,283.04"
26-02-2022,"29,602.38"
27-02-2022,"27,713.87"
28-02-2022,"25,282.38"
01-03-2022,"26,376.00"
02-03-2022,"23,796.55"
03-03-2022,"24,254.04"
04-03-2022,"29,016.98"
05-03-2022,"29,730.22"
06-03-2022,"29,591.75"
07-03-2022,"26,542.84"
08-03-2022,"27,892.44"
09-03-2022,"25,669.52"
10-03-2022,"25,637.07"
11-03-2022,"28,853.36"
12-03-2022,"30,635.90"
13-03-2022,"29,806.35"
14-03-2022,"26,353.00"
15-03-2022,"25,829.79"
16-03-2022,"24,866.26"
17-03-2022,"26,889.76"
18-03-2022,"28,448.17"
19-03-2022,"32,235.80"
20-03-2022,"30,892.94"
21-03-2022,"24,627.49"
22-03-2022,"25,608.40"
23-03-2022,"24,364.95"
24-03-2022,"27,922.25"
25-03-2022,"28,083.14"
26-03-2022,"29,295.30"
27-03-2022,"30,668.53"
28-03-2022,"26,975.53"
29-03-2022,"26,319.87"
30-03-2022,"27,338.35"
31-03-2022,"28,883.25"
01-04-2022,"27,849.60"
02-04-2022,"31,378.93"
03-04-2022,"32,212.53"
04-04-2022,"25,990.73"
05-04-2022,"25,876.37"
06-04-2022,"25,777.59"
07-04-2022,"25,534.26"
08-04-2022,"26,840.46"
09-04-2022,"30,147.59"
10-04-2022,"29,920.37"
11-04-2022,"27,153.08"
12-04-2022,"29,982.80"
13-04-2022,"25,453.46"
14-04-2022,"29,191.48"
15-04-2022,"35,594.02"
16-04-2022,"29,521.62"
17-04-2022,"36,968.37"
18-04-2022,"25,466.74"
19-04-2022,"26,682.50"
20-04-2022,"27,784.43"
21-04-2022,"25,943.47"
22-04-2022,"30,671.24"
23-04-2022,"32,149.24"
24-04-2022,"29,633.30"
25-04-2022,"26,472.71"
26-04-2022,"28,532.39"
27-04-2022,"28,049.69"
28-04-2022,"24,557.08"
29-04-2022,"27,654.90"
30-04-2022,"30,898.01"
01-05-2022,"36,952.35"
02-05-2022,"25,879.71"
03-05-2022,"27,946.88"
04-05-2022,"26,884.22"
05-05-2022,"28,374.74"
06-05-2022,"29,653.74"
07-05-2022,"31,535.30"
08-05-2022,"32,271.12"
09-05-2022,"27,960.46"
10-05-2022,"28,625.55"
11-05-2022,"26,575.84"
12-05-2022,"27,866.51"
13-05-2022,"28,894.63"
14-05-2022,"32,004.88"
15-05-2022,"31,501.36"
16-05-2022,"27,101.41"
17-05-2022,"27,303.86"
18-05-2022,"26,756.77"
19-05-2022,"29,421.98"
20-05-2022,"28,556.75"
21-05-2022,"33,626.24"
22-05-2022,"30,971.12"
23-05-2022,"25,875.11"
24-05-2022,"27,569.95"
25-05-2022,"26,370.26"
26-05-2022,"27,390.68"
27-05-2022,"27,898.25"
28-05-2022,"30,477.43"
29-05-2022,"31,685.94"
30-05-2022,"26,543.23"
31-05-2022,"27,022.74"
01-06-2022,"25,267.53"
